Bhakti: 'हे' आहे भारतातील असे मंदिर जेथे दर ४० वर्षांनंतर होते शिवलिंगाचे दर्शन,Bhakti,"मुंबई : भक्ती वाढत असण्यासाठि म्हणून देवस्थाने खूप सारे मंदिर बनवलेली आहेत. पण एका खास मंदिराला शिवलिंगाचे दर्शन घेण्यासाठि कधीही नाही मिळते. ते मंदिर म्हणजे ‘अशोक विलासपुरम’ येथील ‘विजया नटराज’ मंदिर. या मंदिरातील शिवलिंगाचे दर्शन घेण्यासाठि ३० वर्षांचे इच्छुक लोक दोन-दोन महिने चांगले परिश्रम करीत असतात. तरीही ते दर्शन घेण्यासाठि कधीही मिळत नाही. 

श्रीरंगमंत जो या मंदिरात भक्तांसाठि दर्शन करतो, तो म्हणजे एक विशेष मंत्राच्या सहाय्याने केलेले आहे. त्यामुळे शिवलिंगाचे दर्शन घेण्यासाठि लोक या मंदिरात येतात. हे शिवलिंग कधीही प्रतिस्थापित झालेले नाही, पण भक्तांचे मन शांत होते. त्यांची इच्छा पूर्ण होते."
"Margashirsha Guruvar 2022: मार्गशीर्ष गुरुवारनिमित्त घेऊ अन्नपूर्णेचे दर्शन, तिच्या कृपेशिवाय महालक्ष्मीदेखील होणार नाही प्रसन्न!",Bhakti,"मार्गशीर्ष गुरुवारणी हा शेवटचा महिना आहे, तरी याचा संपूर्ण भारतात विशेष महत्व असतो, खासकरीच त्याच्या आराध्या देवीच्या कृपेशीवर अवलंबून. हे दिवस म्हणजे भगवंती आणि देवी लक्ष्मीबाईच्या जन्मोत्सवाचा सण. ज्यांना श्री माळा लख्ष्मी देवी ही आराधना करणार्‍या व्यक्तींसाठी या दिवसाला खूप महत्व आहे. अशा व्यक्तींना या दिवशी श्री माळा लख्ष्मीबाईचे दर्शन करण्यासाठी सगळीकडे घेण्यात आलेले आहे. मुंबईतील अन्नपूर जिल्ह्यातही ही परंपरा चालू आहे.

अन्नपूर या जिल्ह्यात प्रत्येक वर्षी सर्व विद्यमान राज्यपालीने बांधण्यात आलेले श्री माळा लख्ष्मी मंदिर म्हणजे मुख्य आकर्षण आहे. त्यामुळे हे मंदिर इथे सगळीकडे भरावं केलं जातं आहे, तरी त्या दिवसी मंदिरात येण्यासाठी शिक्षकांना खूप मेहनत करायला पडते. तसेच या दिवशी मंदिरात घेऊन जाणाऱ्या लोकांना पण तिथे श्री माळा लख्ष्मी देवीच्या कृपेशीवर अवलंबून असणे आवश्यक आहे."
Vastu Tips : वास्तुशास्त्रानुसार बाथरूमच्या स्वच्छतेसाठी 'या' पाच सवयी लावा आणि पाच चुका टाळा!,Bhakti,"मराठवाडीला विश्वभरातील सर्वांनी कळलेले असे की, भारतीय उपखंडात राहणार्‍या माणसांच्या जीवनात स्वच्छता हा सर्वात महत्त्वाचा घटक असतो. त्यामुळे आज आम्ही आपल्याला वास्तुशास्त्रानुसार बाथरूमच्या स्वच्छतेचे अनेक फायदे मिळवायला शिकवत आहे. जेव्हा आपल्याला बाथरूममध्ये जाण्यापूर्वी एका वेळेत साफ करणे आवश्यक असते, तेव्हा तुम्ही थोडक्यात संक्षेपाने या नियमानुसार पाच सवयी लावू शकता. पहिल्या बाजूला दोन तोंडे उघडून ठेवा, या सवयीचा उपयोग करताना बाथरूममध्ये कोणतेही प्रदूषित पदार्थ न येणार आहे, तसेच थंडपाणी व गर्म पाणी दोन्ही एकत्रितपणे बनविण्याचा पर्यावरणावरही सकारात्मक प्रभाव पडतो.

जेव्हा आपल्याला बाथरूममध्ये जाण्यापूर्वी ही सवय करायची असेल तरच, तेव्हा तुम्ही बाथरूमची स्वच्छता साध्य करू शकता. दुसर्या बाजूला स्टॉकिंग वाट्या ठेवा, या सवयीने तुम्ही बाथरूममध्ये जाण्यापूर्वी जमिनीवरून खोट्या गोळ्या पडण्यापासून बचावू शकता. तिसर्या बाजूला बाथटबवर एक तौलिया ठेवा, या सवयीने बाथरूममध्ये जलसंचयनाचा पुरेशा अंदाज वाढवून दाखवू शकता. च"
"Guru purnima 2022 : आई, वडील आणि गुरु यांना आपण भूलोकीचे देव मानतो, म्हणून पूजेत त्यांचा मान पहिला; सविस्तर वाचा!",Bhakti,"गुरुपूर्णिमेचा हिंदू धर्मात खूप महत्त्व असतो आणि या दिवशी लोक संपूर्ण भारतात गुरूंची पूजा करतात. या दिनाला शिक्षक, परवर्ती, गुरु आणि अनेकदा त्यांच्याकडे काहीसे समान मानले जाते. या दिवसाला 'गुरुपूर्णिमा' म्हटले जाते आणि हा एक शक्तिशाली आणि भक्तीने भरलेला दिवस मानला जातो. लोक आपल्या गुरूंना आपण भूलोकीचे देव मानतात आणि त्यांच्याकडून कायमस्वरूपी शिक्षण आणि मार्गदर्शन मिळवितात.

गुरुपूर्णिमेच्या उपवासाच्या वेळी, लोक सर्वच गुरूंना आपल्या घरात पूजा करतात. त्यांच्या चित्रांना फुले, फल आणि अन्नाची पूजा करतात. अनेक लोक गुरूंची प्रतीक्षा करतात आणि त्यांना आपले जीवन सुधारण्याची इच्छा करतात. गुरुपूर्णिमेच्या उपवासाच्या वेळी लोक आपल्या गुरूंना मिळणाऱ्या शिक्षणाच्या मार्गावर लक्ष केंद्रित करतात आणि त्यांच्या सल्ल्यांचा पालन करतात."
"संकट येताच भांबावून जाऊ नका, थोडं थांबून विचार करा मार्ग नक्की सापडेल; वाचा ही गोष्ट!",Bhakti,"मुंबईतील क्रिस्चियन दिवशी ह्या धार्मिक त्यागाचे पालन करत असलेले लोक अनेक वर्षापासून हा त्याग नेहमी बिघडू शकणार नाही, अशा वाटते. पण आता तर त्यात बदल आले आहे, कारण संपूर्ण राज्यात हा धार्मिक त्याग खंडित झाला आहे. एका विशेष वेळी जेव्हा कोणताही आपल्याकडे आपले सर्व प्रश्न पुढे ठेवायला हवेत, त्या वेळी हा धार्मिक त्याग खंडित झाला असतो, अशी चिंता व्यक्त केली जाते. यामुळे आपल्या समाजात हा धार्मिक त्याग कायमच खराब होतो आहे हे लक्षात येण्याची गरज आहे.

अर्थात, कोणाला कोणताही व्यक्तीने त्याला कधीही आव्हान दाखवले नाही कि स्वतःचा धार्मिक त्याग बघायला जाणार नाही. परंतु आता आपल्या राज्यात हा धार्मिक त्याग खंडित झाला आहे, अशा वेळी कोणाला सांगावे की तो आपल्या धार्मिक त्याग बघायला जाणार नाही? हे कसे सांगावे?"
Bhagwant Mann: भगवंत मान भाग्यवान! कुंडलीत जुळून आलाय शुभ गजकेसरी धनयोग; ‘असा’ असेल कार्यकाळ,Bhakti,"भारताच्या पंजाबचे मुख्यमंत्री भगवंत मान ह्यांनी सोमवारी राजधानी चंडीगढम येथे भाजपच्या महासंचालक सभेतील निर्वाचन अभियानात भाग घेतला. त्यावेळी, भाजपच्या युवा नेते विनोद कुमार कोइतानी यांच्याशी बोलतांना मानांनी असे काही कळवले की केवळ दिल्लीच्या विधानसभेच्या निवडणुकीमध्ये भाजपचे लढाई घेण्यासाठी त्यांनी त्यांना विशेष मान्यता दिली आहे. हे सर्वात महत्त्वाचे होते म्हणूनच मानांनी केवळ दिल्लीच्या निवडणूकीत आपल्याला 40% मान्यता दिली आहे, तर इतर राज्यांना 20% मान्यता दिली आहे. 

गुरुजनांना मिळालेल्या निवडणुकीच्या परिणामांची जाणीव करून देतांना, भगवंत मानांनी सांगितले की त्यांच्याकडे भाजपच्या ह्या यशाची पूर्ण जिम्मेदारी स्वीकारण्यापूर्वी भाजपच्या कार्यकर्त्यांना त्यांना सांगितले पाहिजे की त्यांना किती प्रमाणात समर्थन आहे, अशी जाणीव असू द्यावी."
Margashirsha 2022: पंढरपूर जवळचे 'विष्णुपद मंदिर' मार्गशीर्ष महिन्यात असते पांडुरंगाचे विश्रांतीस्थान!,Bhakti,"मार्गशीर्ष महिन्यातील शुभ दिनांकी या दिवशी, भारतातल्या महाराष्ट्र राज्यातील पुणे जिल्हा मधील पंढरपूर हे गावामध्ये एक महत्त्वपूर्ण धार्मिक कार्यक्रम झाला. या कार्यक्रमात मराठी संस्कृतीचे प्रतीक म्हणजे विष्णुपद मंदिर हे आपल्याला खूप समृद्ध करणारे आहे. या मंदिरातून पांडुरंग बाबा यांना समर्पित एक भव्य मंदिर बनविलेले आहे, ज्याला 'विष्णुपद मंदिर' म्हणतात. या मंदिरातून भगवान पांडुरंग बाबा यांच्या विशेष मोठ्या त्यागाने येथे आपले विश्रांतीस्थान मिळाले आहे.

या कार्यक्रमातील सर्वांनी विस्तृत प्रकारे पूजा केली आणि भगवान पांडुरंग बाबा यांच्या वंदनाची भक्ती केली. या कार्यक्रमात देवस्थानी संतांची उपस्थिती होती आणि सामाजिक कार्यकर्ते हे या कार्यक्रमात भाग घेतले. या कार्यक्रमात आपल्या राज्यातील सर्व लोक एकत्र आले आणि भगवान पांडुरंग बाबा यांच्याशी संबंधित अनेक प्रश्न-उत्तर कार्यक्रम सुद्धा आयोजित करण्यात आले."
"Vastu Tips: 'या' दहा टिप्सचा वापर करा, स्वयंपाक घरात जाण्याचा कधीही येणार नाही कंटाळा!",Bhakti,"मुंबई, [तारीख] - भक्तीचे प्रेमी हे सर्वांना माहित आहे की होम डिझाइनिंगमधील काही राज्ये आणि त्यांच्या फायद्या समोर येतात. अशा वेळी या प्रत्येक राज्याचा स्वरूप कसा असतो ते बघायला मिळते. आज आम्ही खासकराने तुम्हाला माहित करायचे आहे की तुम्हाला स्वयंपाक घरात जाण्याचा कधीही येणार नाही. हे कशाची चूक आहे, हे मला शिकून घ्यावे लागेल. तुम्ही खालील या नऊ टिप्सचा वापर करताना तुम्ही स्वतःला स्वयंपाक स्थानातून कधीही वळला नाही.

वास्तविकता म्हणजे की स्वयंपाक कक्षेचे डिझाइन तुम्ही एकदा तुमच्या हाताने केला तर ते कधीही बदलू शकत नाही, परंतु तुम्ही हे बदलण्यासाठी तुम्ही अनेक वर्षे तुमच्या मनात ठेवत असता. तुमच्या मनात असलेली ही इच्छा कुठेही पोहोचविण्यासाठी तुम्ही तुमचे स्वयंपाक कक्ष डिझाइन बदलता येते. तुम्ही आपल्या स्वयंपाक कक्षाचे डिझाइन बदलण्यासाठी खालील या नऊ टिप्सचा वापर करा:
- विभागित तुमच्या स्वयंपाक कक्षाचे विभागित करा
- वेगवेगळ्या आकाराच्या फोटो वापरा
- तुमच्या स्वयंपाक कक्षामध्ये प्रकाशाचा वापर करा"
"सुखाच्या मागे जेवढे धावाल ते आणखीनच पुढे धावेल, यासाठी करा एक उपाय ... ",Bhakti,"मुंबईतील एका शाळेत चार वर्षांनी झालेल्या दुष्काळातली भूके भरून गेली. नंतरही, शाळेने खेळ-वेळी खाऊ घेण्याची व्यवस्था सुरू केली. हे एकच उदाहरण आहे, जसजिकी इथे बाबतच शाळेची संपूर्ण व्यवस्था बदलली आहे. त्यामुळे सर्व शाळांनाही पाहिजे की त्यांना सुखाच्या मागे जेवढे धावाल ते आणखीच पुढे धावेल.

शाळांना विद्यार्थ्यांच्या मनातील भावनांचा समज मिळावा. त्यांच्याकडून कोणत्याही विचार-विमर्शासाठी मुक्त वातावरण बनविणे महत्त्वाचे आहे. असा वातावरण बनवण्यासाठी शाळांना स्वतःच्या रोजगारी वेळीही विद्यार्थ्यांशी संवाद साधणे आवश्यक आहे. संवाद साधल्याने शाळा विद्यार्थ्यांच्या मनातील भावनांची समजदार ठरते. तसेच शाळा विद्यार्थ्यांना आपल्या भावनांचे व्यक्तीकरण करण्याची परवानगी दिली पाहिजे."
Navratri 2021: नवरात्रीत रोज संध्याकाळी देवीची आरती म्हणणार ना? त्याआधी समजून घ्या भावार्थ!,Bhakti,"मुंबई, १० ऑक्टोबर - नवरात्रीच्या हे पौर्णिमायंत्राच्या वेळी महिलांच्या जीवनातील किंवदंती आणि आध्यात्मिक शक्तीचे महत्त्व लक्षात येते. हा सगळीकडे पसरलेला एक भावनात्मक आणि धार्मिक उत्साह आहे, ज्यामुळे लोक विविध रीतीने नवरात्रीच्या देवी महागिरी करू लागतात. शास्त्रीय संगीत, नृत्य, गायन आणि अनेक कलाकारांनी नवरात्रीच्या देवीस समर्पित संग्रहांची आयोजन केले आहेत.

प्रत्येक नवरात्रीच्या रूपाने हे उत्सव आपल्याला विविध भावना आणि अर्थाचे अनुभव करवते. काली देवी, माँ सरस्वती, काली दुर्गा, अंबा आणि महागिरी देवी अशा विविध रूपांनी लोकांच्या मनातील भावनांना व्यक्त करण्याची क्षमता आहे. या उत्सवातील अनुभवी कलाकार आणि संगीतकारांनी आपल्या कल्पनाशक्तीमुळे नवरात्रीच्या देवींची आरती आणि भजने साजरी करत असतात."
"चांगले तेवढे घ्या, वाईट असेल ते सोडून द्या, तरच जीवनात उत्कर्ष साधाल! - भगवान बुद्ध",Bhakti,"भक्ती आणि कृतज्ञतेने मिळणारा लक्षणीय परिवर्तन होतो. याची गोष्ट म्हणजे आपल्याला त्यावर भरावळलेली प्राप्त करण्यासाठी मेहनत करायला हवी, म्हणजेच खूप मेहनत करायला हवी. तुम्ही काहीच थोडे काम करत नसलेल्या तुम्ही जितके मेहनत करतील, तितके तुम्हाला मिळणारे उत्कृष्ट परिणामही तितके उत्तम असतील. एका उदाहरणामध्ये, सर्वसाधारण लोकांमध्ये बाजारात काम करणाऱ्या श्रीमंत व्यक्तींचे भाषप्रवाह असते. ते स्वतःला जितके अधिक मिळवण्याचा प्रयत्न करतात, तितके ते त्याच्याकडे मिळवतात. तसेच अशा प्रकारे आपल्याला जितके मेहनत करायची असेल, तितके तुम्हाला त्यातून मिळणारे परिणामही तितके उत्तम असतील.

तसे केल्यास आपल्याला जीवनात उत्कर्ष साधायला मदतील. तुम्ही आपल्या जीवनात खूप मेहनत करू शकतो. तुम्ही आपल्या कामाच्या क्षेत्रात उत्कृष्टता प्राप्त करू शकता. तुम्ही आपल्या विचारशीलतेमुळे कुशल बनू शकतो. तुम्ही आपल्या सगळ्या क्षेत्रात ज्या प्रकारे काम करत असतो, त्यातून तुम्हाला प्रत्यक्षात उत्तम परिणाम मिळवायला मदतील."
"पिझ्झा, बर्गरसाठी वाटेल तेवढी देतो, मग गरिबाकडची जांभळं विकत घेताना वाटाघाटी का? वाचा ही गोष्ट!",Bhakti,"मुंबईतील गरिब आणि मध्यम वर्गातील लोकांनी ब्रिटिश राजवटीतून काहीसे सामान्य होऊ लागलेल्या वैशिष्ट्याला संबोधित करणारे 'वाटाघाटी' नावाचे एक कृत्रिम व्यवसाय आहे. या व्यवसायात डिलीव्हरी चुकीच्या गोष्टींचा वापर करत असताना विक्रेते आपल्या ग्राहकांना पिझ्झा किंवा बर्गर विक्री करून, त्यांना फार कमी मोजका भरण्यासाठी मजबूर करतात. या गोष्टींचा मूल्य त्यांना खरेदीकडे वाहताना दिला जातो.

या वाईट व्यवहाराचे खोटे म्हणजे केवळ त्यांच्यावरच नाही, तर समाजाच्या सर्वालाही. जेथे गरिब लोक या वाटाघाटीमुळे जाणिवंत होतात, तिथे अनेकदा ते स्वतःच्या परिस्थितीपेक्षा खूप थोडे कमी मिळवतात. तसेच ही गोष्टी संपूर्ण भारतभर पसरलेली आहे, म्हणूनच या विषयावर मर्यादा काढणे आवश्यक आहे."
"Vat Purnima 2022: आंबा, पिंपळ, चिंच इ. वृक्ष असताना ज्येष्ठ पौर्णिमेला वटवृक्षाचीच पूजा का? वाचा!",Bhakti,"राज्यातील सर्व भक्तांनी विशेष महत्त्वाच्या घोषणा केली आहे. हे म्हणजे त्याऱ्याला संपूर्ण पुन्हे करणार्‍या पौर्णिमेच्या दिवशी ज्येष्ठ पौर्णिमेला वटवृक्षाची पूजा करण्याची शिक्षा देण्यात आली आहे. या प्रक्रियेद्वारे बुद्धी म्हणजे ज्ञानाच्या संचयासाठी, मनुष्याला समृद्धी मिळावी. वटवृक्षाच्या रूपाने वाटलेल्या बुद्धीची पूजा करून आपल्याला ती नेहमीपेक्षा अधिक गुणगाने भरायला मदतील.

भारतातील सर्व विद्यालयांसुद्धा या प्रकारची पूजा करण्याची योजना बनविली आहे. परंतु विद्यापrada प्रशासनामुळे हे काम अडचणीस सुरू झालं. विद्यालयांमध्ये वटवृक्ष निर्माण करण्यासाठी वेगवेगळ्या विधी करण्यात आले आहेत. तसेच शाळांमध्ये वटवृक्षाची पूजा करत असताना लोकांना बुद्धीचे महत्त्व सांगण्यात आले आहे."
ब्रह्मदेवाच्या अश्रूंपासून झाली आवळ्याची निर्मिती; आमलकी एकादशीनिमित्त वाचा आवळ्याचे  महत्त्व!,Bhakti,"अमरावली येथील गोडावरील स्थानिक लोकांनी दिलेल्या शोधात पाहण्यात आले, की इंद्रधनुष्याच्या रंगांच्या भितरच वाटलेल्या आवळीचे स्वरूप कसे बनते. त्यामध्ये चंद्रगुप्त, सूर्य, पृथ्वी, आकाश, जल आणि आग ही सर्व रंगे समाविष्ट असल्याचे म्हटले जाऊ शकते. कारण ब्रह्मदेवाच्या अश्रूंपासून ही आवळी निर्माण झाली आहे असे म्हणतात.

आमलकी एकादशीनिमित्त वाचा आवळ्याचे महत्त्व सांगताना, प्रत्यक्ष ब्रह्मचारी महापुरुषांच्या उपासनेमुळे ही आवळी निर्माण होते. ब्रह्मचारी म्हणजे जो व्यक्ती आपल्याकडे सत्य, अहिंसा आणि तपस्या या तीन गुणधर्मांच्या साथी येतो तो ब्रह्मचारी म्हणतात. त्यांच्या उपासनेच्या परिणामी ही आवळी निर्माण होते. तसेच पवित्र आवळीचे अन्न खावे की मनाला शुद्धता मिळते हे म्हटले जाते."
"सोमवती अमावस्येला करा शिवपूजा, पितरांना मिळेल शिवधाम; वाचा तारीख, तिथी आणि मुहूर्त!",Bhakti,"अमावासynes या दिवशी होणाऱ्या सोमवती अमावास्येच्या रात्रीच्या काळात मराठवाडा जिल्ह्यातील विविध भागांत शिवभक्तांचे एकत्रीकरण झाले. अशोकविलासपूर, परभक्टी, पंढरपूर, जिन्ना आणि मिरजापूर येथे लाखानोठा भीड नेहमी घडला. शेवटच्या काही वर्षांत ही उत्सवाची महत्वाची विशेषता वाढली आहे, तरीही श्रद्धालु लोक आजही आपल्या घरी त्यांच्याकडून शिवभक्ती करत असूनच आहेत.

शिवधामाच्या कार्यक्रमात विशेष बाबींचा समावेश असल्याची आशा आहे. शेवटच्या काळात फक्त श्रद्धालु लोक एकत्र आले होते, आता अनेक लोकांना त्यांच्यावर हा उत्सव कसा आयोजित करावा हे विचारण्याची गरज नाही. तसेच मंदिरांवर खूप भीड झाली आहे, पण शिवभक्तांनी त्यांच्याकडे लक्ष केंद्रित केल्यामुळे हे सगळे योग्य राहिले आहे."
Ganesh Festival 2022: गणेशोत्सवासाठी आपण आपल्या मनासारखी सजावट केली; एकदा बाप्पाचे म्हणणेही ऐकून घेऊ!,Bhakti,"गणेशोत्सव हा भारतातील सर्वात प्रामाणिक आणि सार्थक त्याळीचा उत्सव असतो. या दिवशी लोक वेगवेगळ्या ठिकाणी जागेच्या निर्मितीसाठी सुरुवात झाली आहे. आपल्या घरांना गणपतीने सजवण्याचे मुख्य ध्येय हे लक्षात घेणे महत्त्वाचे आहे. आपल्या घराच्या भव्य दरवाज्यावर, खोल्या मध्ये, आणि अन्नमंचावर गणेशाची मूर्ती ठेवणे आवश्यक आहे. विशेषतः बाबा बालगंगाधर म्हणजे मोठ्या मोठ्या रूपाने सजविण्याचे कौतुक करण्यात येते. श्रीगणेशची उपासना करण्याची विधी सुरूच आहेत.

असे असूनही, गणेशोत्सवाच्या दिवशी जागरूकता वाढवण्याचे मुख्य ध्येय हे पाहिले जाते. या दिवशी गणेशाच्या जन्मोत्सवाला जागरूकता वाढवण्यासाठी लोक वेगवेगळ्या संस्कृती आणि परंपरा करीत आहेत. शाळांमध्ये गणेशोत्सवाच्या थीमची चर्चा, गणेशोत्सवाच्या विविध पक्षांवर आधारित कलाकृती बनवणे, आणि विशेष गोष्टी करणे अशा काही गोष्टींचा समावेश आहे. या दिवशी मुले तसेच वयोग्य लोकांनी मिळालेले आनंद आहे."
"प्रत्येक दिवस मौल्यवान आहे, 'या' पाच गोष्टींनी तो अधिक मौल्यवान बनवा!",Bhakti,"माझे हे प्रश्न काय? किती वेळा आम्हाला सांगण्यासारखे नाही, तरीही जीवनातील सर्व श्रेष्ठ गोष्टीची खोज करून पाहू शकतो. या आधुनिक जगामधील सर्व गोष्टींच्या मागे एक गोष्ट आहे जी त्यांना मौल्यवान बनवते. ती गोष्ट म्हणजेच ""आत्म-विश्वास"". आत्मविश्वास हा माणसाच्या जीवनातील सर्व कामांना उत्तम कामगिरी करण्यासाठी आवश्यक आहे. आत्मविश्वासीने आपल्याला काहीही असलेल्या उद्दिष्टास पोहोचायला मदतील आहे.

आत्मविश्वासीने मिळणार्‍या फायद्यांची खूपच मोठी संख्या आहे. आत्मविश्वासीने आपल्याला जीवनातील सर्व चुनौत्या पार करण्याची शक्ती दिली जाते. आत्मविश्वासीने आपल्याला अनेक बऱ्याच कामे करण्याची शक्ती दिली जाते. आत्मविश्वासीने आपल्याला जीवनातील सर्व लोकांच्या मनात सम्मान मिळवायला मदतील आहे. आत्मविश्वासीने आपल्याला जीवनातील सर्व कष्ट कमी करता येतात."
Datta Jayanti 2022: गुरुचरित्राचे पारायण सुरु करायचे असेल तर दत्तजयंतीपूर्वीची हीच ती वेळ; वाचा सविस्तर माहिती!,Bhakti,"मुंबई, २३ जानेव्हे - शिक्षाप्रमाणे किंवा ज्ञानप्रमाणे मिळालेल्या सर्व भक्तांनो! ह्या वर्षातही आपल्याकडून खूप काही घडलं आहे. एक मोठ्या प्रमाणावर धार्मिक उत्साहाने भरलेलं होतं. नवरात्रीच्या समारोहातून लोकांचं मन उंच उंच चढवत होतं. त्याच्या दिवशी दत्तजयंतीचे प्रसंगी हे मनोरंजन आणि आनंद फिरण्यासाठी इथे आले होतं. या दिनांकीवर भक्तगीते, भजने आणि पूजा झाल्यावरच गुरुचरित्राचं पारायण सुरू होतं. या पारायणातील कलाकारांनी सामाजिक समस्या प्रकट करण्याचा प्रयत्न केला होता. 

दत्तजयंतीच्या दिवसापूर्वी, गुरुचरित्राचं पारायण सुरु होईल. या पारायणात भक्तांना गुरूंच्या जीवनाची महत्त्वपूर्ण बाबींवर चर्चा करण्याची संधी मिळेल. या पारायणातील कलाकारांनी सामाजिक समस्या प्रकट करण्याचा प्रयत्न केला होता, त्यामुळे लोकांचं मन उच्च उठेल. त्यामुळेच दत्तजयंतीच्या दिवसापूर्वी हीच वेळ आहे त्यासाठी आपल्याला तयार राहायला हवा."
"हिरा सगळ्यांनाच आवडतो, पण त्याचा खरा गुणधर्म कोणता ते माहितीय? जाणून घ्या!",Bhakti,"भक्ती हा एक विविध आणि समृद्ध भावना आहे जी लोकांच्या जीवनातील सर्वसामान्यांना जोडते. आपल्याला आपल्याला आवडणारे कुणी असतो, तर तो शेवटी भक्तीचा परिणाम दिसतो. भक्तीने नेहमी इतरांच्या मनात खूप आनंदाची भावना वाढवली जाऊ शकते. बाजूला बसलेले कुणीही, त्यांच्याकडून आपले भाविक प्रेम मिळवता येते. ज्याप्रमाणे भक्ती आपल्या आयुष्यात येणारी मैत्रीण आहे, त्याच्याद्वारे आपले जीवन चांगला अर्थ वाटू लागतो.

पण, भक्तीचा काय खरा गुणधर्म आहे? कोणत्या प्रकारचे भक्ती आहे? हे प्रश्न फार म्हणूनच पडतेच. भक्तीचा गुणधर्म समजून घेण्यासाठी आपल्याला अनेक वर्षे लागतील. आता जेव्हा आपल्याला आपले सर्व प्रिय मित्र किंवा रिश्तेदार मृत्यूची सुरुवात झाली असते तर तेव्हा आपण स्वतःला भक्तीचा अनुभव करू लागतो. आपल्याला त्यांच्यावर वेळ जाणवत नाही. पण त्यांच्या गणेश चोरीता येतो. त्याच्या गंधाचा आपल्याला विचारता येतो. त्याचा आवाज आपल्याला विचारता येतो. त्यांच्या शब्दांचा आपल्याला विचारता येतो. त्यांच्या आँखांमधून आपल्याला विचारता येते आणि आपल्याल"
"Dussehra 2021 : दसऱ्याच्या शुभ मुहूर्तावर जुळून येत आहेत आणखी तीन शुभ मुहूर्त, जाणून घ्या त्यांचे महत्त्व!",Bhakti,"म्हणजे, ही वर्षभर सुरू असलेली दशहरा ही एक महत्त्वाकांक्षी पाळी आहे. ही पाळी नवरात्रीच्या विविध रूपांसह सुरू झाली आणि तिचा अंतिम दिन होतो. किंवा तरीही असे म्हटले की, ही पाळी पूर्ण झाली नाही. तसेच, हे खरे आहे की ही पाळी एकदा पूर्ण झाली तरच आम्हाला ही एक मिळताना मिळेल. पण आता आम्हाला दशहरा सारख्या त्या शुभ दिवसाचा आनंद घेण्यासाठी सुरुवात करावी लागली आहे. हा दिवस शुभ आहे कारण तो भगवान रामाच्या राज्याभिषेकाच्या दिवशी संबंधित आहे.

आम्ही आपल्याला दशहरा सारख्या शुभ दिवसाच्या पूर्वी तीन शुभ मुहूर्त मिळवायला मिळतात. या मोहिमेने आम्हाला भगवान रामाच्या जीवनातील अनेक महत्त्वपूर्ण घटनांना लक्षात घेण्यासाठी प्रेरित करते. पहिला मुहूर्त चित्रगुप्त हा भगवान रामाच्या पत्नी सीतेसोबतील एक अतिशय प्रेमपूर्ण क्षणाचा प्रतीक आहे. त्यानंतर, तिसरा मुहूर्त बनारसी हा भगवान रामच्या वनवासातील एक महत्त्वपूर्ण क्षण आहे जिथे त्याने त्याच्या भाऊ लक्ष्मण, बहिणी श्रुती आणि श्वेतकण्ठाच्या साथीने संवाद केला. त्यानंतर, चौथा मुहूर्त सीतेलाल का जाता हा"
